,State,Site Name,City,Zip,County,Latitude,Longitude,State Name,zip,population,Year
43,MA,Walton & Lonsbury Inc.,Attleboro,02703,BRISTOL,41.957778,-71.296944,Massachusetts,02703,46479.0,2013
44,MA,Wells G&H,Woburn,01801,MIDDLESEX,42.494719,-71.130839,Massachusetts,01801,41205.0,1983
45,ME,Brunswick Naval Air Station,Brunswick,04011,CUMBERLAND,43.90634,-69.933986,Maine,04011,22081.0,1987
46,ME,Callahan Mining Corp,Brooksville (Cape Rosier),04617,HANCOCK,44.351639,-68.810139,Maine,04617,649.0,2002
47,ME,Eastern Surplus,Meddybemps,04657,WASHINGTON,45.038889,-67.358333,Maine,04657,313.0,1996
48,ME,Eastland Woolen Mill,Corinna,04928,PENOBSCOT,44.921667,-69.261111,Maine,04928,2079.0,1999
49,ME,Keddy Mill,Windham,04062,CUMBERLAND,43.734953,-70.424514,Maine,04062,19041.0,2014
50,ME,Leeds Metal,Leeds,04263,ANDROSCOGGIN,44.237083,-70.08025,Maine,04263,2371.0,2012
51,ME,Loring Air Force Base,Limestone,04751,AROOSTOOK,46.944444,-67.883888,Maine,,,1990
52,ME,Saco Municipal Landfill,Saco,04072,YORK,43.5302,-70.4815,Maine,04072,20636.0,1990
53,ME,West Site/Hows Corners,Plymouth,04969,PENOBSCOT,44.740278,-69.182222,Maine,04969,1319.0,1995
54,ME,Winthrop Landfill,Winthrop,04364,KENNEBEC,44.275831,-69.988331,Maine,04364,6153.0,1983
55,NH,Auburn Road Landfill,Londonderry,03053,ROCKINGHAM,42.9302,-71.3529,New Hampshire,03053,25930.0,1983
56,NH,Beede Waste Oil,Plaistow,03865,ROCKINGHAM,42.855075,-71.105889,New Hampshire,03865,7850.0,1996
57,NH,Chlor-Alkali Facility (Former),Berlin,03570,COOS,44.479194,-71.167194,New Hampshire,03570,9473.0,2005
58,NH,Coakley Landfill,North Hampton,03840,ROCKINGHAM,43.001111,-70.817219,New Hampshire,03840,4070.0,1986
59,NH,Collins & Aikman Plant (Former),Farmington,03835,STRAFFORD,43.372,-71.05875,New Hampshire,03835,6800.0,2013
60,NH,Dover Municipal Landfill,Dover,03820,STRAFFORD,43.2125,-70.953,New Hampshire,03820,33150.0,1983
61,NH,Fletcher'S Paint Works & Storage,Milford,03055,HILLSBOROUGH,42.8358,-71.6554,New Hampshire,03055,16258.0,1989
62,NH,Kearsarge Metallurgical Corp.,Conway,03818,CARROLL,43.9721,-71.1293,New Hampshire,03818,3930.0,1984
63,NH,Keefe Environmental Services (Kes),Epping,03042,ROCKINGHAM,43.024169,-71.033331,New Hampshire,03042,7300.0,1983
64,NH,Mottolo Pig Farm,Raymond,03077,ROCKINGHAM,42.989581,-71.173189,New Hampshire,03077,10837.0,1987
65,NH,New Hampshire Plating Co.,Merrimack,03054,HILLSBOROUGH,42.855833,-71.488888,New Hampshire,03054,27604.0,1992
66,NH,Ottati & Goss/Kingston Steel Drum,Kingston,03848,ROCKINGHAM,42.897219,-71.080561,New Hampshire,03848,6261.0,1983
67,NH,Pease Air Force Base,Portsmouth/Newington,03803,ROCKINGHAM,43.080169,-70.82125,New Hampshire,,,1990
68,NH,Savage Municipal Water Supply,Milford,03055,HILLSBOROUGH,42.8418,-71.6884,New Hampshire,03055,16258.0,1984
69,NH,Somersworth Sanitary Landfill,Somersworth,03878,STRAFFORD,43.2489,-70.8845,New Hampshire,03878,12145.0,1983
70,NH,South Municipal Water Supply Well,Peterborough,03458,HILLSBOROUGH,42.8489,-71.9468,New Hampshire,03458,6914.0,1984
71,NH,Sylvester,Nashua,03062,HILLSBOROUGH,42.7197,-71.523111,New Hampshire,03062,28713.0,1983
72,NH,Tibbetts Road,Barrington,03825,STRAFFORD,43.18,-71.0347,New Hampshire,03825,9420.0,1986
73,NH,Tinkham Garage,Londonderry,03053,ROCKINGHAM,42.860831,-71.351111,New Hampshire,03053,25930.0,1983
74,NH,Troy Mills Landfill,Troy,03465,CHESHIRE,42.802583,-72.186944,New Hampshire,03465,2034.0,2003
75,RI,Central Landfill,Johnston,02919,PROVIDENCE,41.808331,-71.534719,Rhode Island,02919,29473.0,1986
76,RI,Centredale Manor Restoration Project,North Providence,02911,PROVIDENCE,41.857667,-71.48725,Rhode Island,02911,14963.0,2000
77,RI,Davis Liquid Waste,Smithfield,02828,PROVIDENCE,41.922219,-71.577769,Rhode Island,02828,7058.0,1983
78,RI,Davisville Naval Construction Battalion Center,North Kingstown,02818,WASHINGTON,41.6095,-71.47422,Rhode Island,02818,19869.0,1989
79,RI,"Landfill & Resource Recovery, Inc. (L&Rr)",North Smithfield,02876,PROVIDENCE,41.9795,-71.589,Rhode Island,02876,444.0,1983
80,RI,Newport Naval Education & Training Center,Newport,02871,NEWPORT,41.56445,-71.293469,Rhode Island,02871,17635.0,1989
81,RI,"Peterson/Puritan, Inc.",Lincoln/Cumberland,02864,PROVIDENCE,41.929581,-71.4268,Rhode Island,02864,36383.0,1983
82,RI,Picillo Farm,Coventry,02816,KENT,41.671669,-71.709169,Rhode Island,02816,33246.0,1983
83,RI,Rose Hill Regional Landfill,South Kingstown,02880,WASHINGTON,41.470831,-71.491669,Rhode Island,,,1989
84,RI,Stamina Mills,North Smithfield (Forestdale),02824,PROVIDENCE,41.9964,-71.5647,Rhode Island,02824,375.0,1983
85,RI,West Kingston Town Dump/Uri Disposal Area,South Kingstown,02881,WASHINGTON,41.496667,-71.535278,Rhode Island,02881,7183.0,1992
86,RI,Western Sand & Gravel,Burrillville,02895,PROVIDENCE,41.9727,-71.595,Rhode Island,02895,43081.0,1983
87,VT,Bennington Municipal Sanitary Landfill,Bennington,05201,BENNINGTON,42.922219,-73.197781,Vermont,05201,14966.0,1989
88,VT,Bfi Sanitary Landfill (Rockingham),Rockingham,05101,WINDHAM,43.226389,-72.439719,Vermont,05101,4135.0,1989
89,VT,Burgess Brothers Landfill,Woodford,05201,BENNINGTON,42.878061,-73.150139,Vermont,05201,14966.0,1989
90,VT,Commerce Street Plume,Williston,05495,CHITTENDEN,44.452583,-73.121389,Vermont,05495,10984.0,2005
91,VT,Elizabeth Mine,Strafford,05070,ORANGE,43.823889,-72.328889,Vermont,05070,488.0,2001
92,VT,Ely Copper Mine,Vershire,05079,ORANGE,43.927447,-72.285506,Vermont,05079,898.0,2001
93,VT,"Jard Company, Inc.",Bennington,05201,BENNINGTON,42.888861,-73.189111,Vermont,05201,14966.0,2014
94,VT,Old Springfield Landfill,Springfield,05156,WINDSOR,43.272781,-72.466669,Vermont,05156,9028.0,1983
95,VT,Parker Sanitary Landfill,Lyndon,05849,CALEDONIA,44.518611,-71.989439,Vermont,,,1990
96,VT,Pike Hill Copper Mine,Corinth,05039,ORANGE,44.057333,-72.306917,Vermont,05039,987.0,2004
97,VT,Pine Street Canal,Burlington,05401,CHITTENDEN,44.466669,-73.218061,Vermont,05401,31676.0,1983
98,VT,Pownal Tannery,Pownal,05261,BENNINGTON,42.797167,-73.26575,Vermont,05261,2200.0,1999
99,NJ,A. O. Polymer,Sparta Township,07871,SUSSEX,41.04805,-74.63,New Jersey,07871,21167.0,1983
100,NJ,American Cyanamid Co,Bridgewater,08805,SOMERSET,40.555561,-74.55945,New Jersey,08805,14153.0,1983
101,NJ,Atlantic Resources,Sayreville,08872,MIDDLESEX,40.486111,-74.319444,New Jersey,08872,20040.0,2002
102,NJ,Bog Creek Farm,Howell Township,07727,MONMOUTH,40.150831,-74.161111,New Jersey,07727,7135.0,1983
103,NJ,Brick Township Landfill,Brick Township,08723,OCEAN,40.1098,-74.1311,New Jersey,08723,32033.0,1983
104,NJ,Bridgeport Rental & Oil Services,Bridgeport,08014,GLOUCESTER,39.801669,-75.321661,New Jersey,08014,283.0,1983
105,NJ,Brook Industrial Park,Bound Brook,08805,SOMERSET,40.560139,-74.536111,New Jersey,08805,14153.0,1989
106,NJ,Burnt Fly Bog,Marlboro Township,07746,MONMOUTH,40.375,-74.279169,New Jersey,07746,18137.0,1983
107,NJ,Caldwell Trucking Co.,Fairfield,07004,ESSEX,40.876389,-74.271389,New Jersey,07004,7712.0,1983
108,NJ,Chemical Control,Elizabeth,07202,UNION,40.6432,-74.1935,New Jersey,07202,44638.0,1983
109,NJ,Chemical Insecticide Corp.,Edison Township,08817,MIDDLESEX,40.5274,-74.368,New Jersey,08817,47924.0,1990
110,NJ,"Chemical Leaman Tank Lines, Inc.",Bridgeport,08014,GLOUCESTER,39.798331,-75.332781,New Jersey,08014,283.0,1984
111,NJ,"Chemsol, Inc.",Piscataway,08854,MIDDLESEX,40.5625,-74.443339,New Jersey,08854,60405.0,1983
112,NJ,Ciba-Geigy Corp.,Toms River,08753,OCEAN,39.9867,-74.2363,New Jersey,08753,64788.0,1983
113,NJ,Cinnaminson Township (Block 702) Ground Water Contamination,Cinnaminson Township,08077,BURLINGTON,40.0175,-74.9862,New Jersey,08077,20677.0,1986
114,NJ,Combe Fill South Landfill,Chester Township,07930,MORRIS,40.771669,-74.738331,New Jersey,07930,8205.0,1983
115,NJ,Cornell Dubilier Electronics Inc.,South Plainfield,07080,MIDDLESEX,40.576389,-74.414167,New Jersey,07080,24215.0,1998
116,NJ,Cosden Chemical Coatings Corp.,Beverly,08010,BURLINGTON,40.058183,-74.925899,New Jersey,08010,11506.0,1987
117,NJ,Cps/Madison Industries,Old Bridge Township,08857,MIDDLESEX,40.434439,-74.327769,New Jersey,08857,40409.0,1983
118,NJ,"Curcio Scrap Metal, Inc.",Saddle Brook Twp,07662,BERGEN,40.8907,-74.1035,New Jersey,07662,5820.0,1987
119,NJ,"Curtis Specialty Papers, Inc",Milford,08848,HUNTERDON,40.561758,-75.089842,New Jersey,08848,8376.0,2009
120,NJ,D'Imperio Property,Hamilton Township,08330,ATLANTIC,39.454439,-74.658889,New Jersey,08330,30009.0,1983
121,NJ,Dayco Corp./L.E Carpenter Co.,Wharton Borough,07885,MORRIS,40.903331,-74.5775,New Jersey,07885,11864.0,1987
122,NJ,De Rewal Chemical Co.,Kingwood Township,08825,HUNTERDON,40.5162,-75.0614,New Jersey,08825,4639.0,1984
123,NJ,Diamond Alkali Co.,Newark,07105,ESSEX,40.739719,-74.136111,New Jersey,07105,56657.0,1984
124,NJ,Diamond Head Oil Refinery Div.,Kearny,07032,HUDSON,40.749783,-74.133092,New Jersey,07032,40570.0,2002
125,NJ,Dover Municipal Well 4,Dover,07801,MORRIS,40.8858,-74.5423,New Jersey,07801,26725.0,1983
126,NJ,Ellis Property,Evesham Township,08053,BURLINGTON,39.905,-74.864719,New Jersey,08053,47612.0,1983
127,NJ,Emmell'S Septic Landfill,Galloway Township,08215,ATLANTIC,39.500694,-74.543611,New Jersey,08215,13921.0,1999
128,NJ,Evor Phillips Leasing,Old Bridge Township,08857,MIDDLESEX,40.4375,-74.325,New Jersey,08857,40409.0,1983
129,NJ,Ewan Property,Shamong Township,08088,BURLINGTON,39.802781,-74.719439,New Jersey,08088,24153.0,1984
130,NJ,Fair Lawn Well Field,Fair Lawn,07410,BERGEN,40.9375,-74.131939,New Jersey,07410,35153.0,1983
131,NJ,Federal Aviation Administration Technical Center (Usdot),Atlantic County,08405,ATLANTIC,39.458331,-74.583339,New Jersey,,,1990
132,NJ,Former Kil-Tone Company,Vineland,08360,CUMBERLAND,39.47841,-75.025489,New Jersey,08360,44276.0,2016
133,NJ,Franklin Burn,Franklin Township,08322,GLOUCESTER,39.594444,-75.025,New Jersey,08322,10391.0,1996
134,NJ,Fried Industries,East Brunswick Township,08816,MIDDLESEX,40.4424,-74.4412,New Jersey,08816,48965.0,1986
135,NJ,Garden State Cleaners Co.,Minotola,08341,ATLANTIC,39.519031,-74.94945,New Jersey,08341,2002.0,1989
136,NJ,Garfield Ground Water Contamination,Garfield,07026,BERGEN,40.871858,-74.106431,New Jersey,07026,32502.0,2011
137,NJ,Gems Landfill,Gloucester Township,08012,CAMDEN,39.77945,-75.018889,New Jersey,08012,40830.0,1983
138,NJ,Global Sanitary Landfill,Old Bridge Township,08857,MIDDLESEX,40.446389,-74.286111,New Jersey,08857,40409.0,1989
139,NJ,Goose Farm,Plumstead Township,08533,OCEAN,40.09555,-74.4975,New Jersey,08533,6892.0,1983
140,NJ,Helen Kramer Landfill,Mantua Township,08579,GLOUCESTER,39.7801,-75.2003,New Jersey,,,1983
141,NJ,"Hercules, Inc. (Gibbstown Plant)",Gibbstown,08027,GLOUCESTER,39.838889,-75.277781,New Jersey,08027,4942.0,1983
142,NJ,Higgins Disposal,Kingston,08528,SOMERSET,40.3875,-74.615281,New Jersey,08528,331.0,1990
143,NJ,Higgins Farm,Franklin Township,08540,SOMERSET,40.406389,-74.602781,New Jersey,08540,49499.0,1989
144,NJ,Horseshoe Road,Sayreville,08872,MIDDLESEX,40.484722,-74.319444,New Jersey,08872,20040.0,1995
145,NJ,Iceland Coin Laundry Area Gw Plume,Vineland,08360,CUMBERLAND,39.45725,-75.04725,New Jersey,08360,44276.0,1999
146,NJ,"Imperial Oil Co., Inc./Champion Chemicals",Morganville,07751,MONMOUTH,40.383889,-74.245831,New Jersey,07751,21431.0,1983
147,NJ,Jis Landfill,South Brunswick,08831,MIDDLESEX,40.365831,-74.465281,New Jersey,08831,54608.0,1983
148,NJ,"Kauffman & Minteer, Inc.",Springfield Twp(Jobstown),08041,BURLINGTON,40.0363,-74.694,New Jersey,08041,788.0,1989
149,NJ,Kin-Buc Landfill,Edison Township,08817,MIDDLESEX,40.4891,-74.3785,New Jersey,08817,47924.0,1983
150,NJ,King Of Prussia,Winslow Township,08095,CAMDEN,39.62695,-74.889439,New Jersey,08095,0.0,1983
151,NJ,Landfill & Development Co.,Mount Holly,08060,BURLINGTON,39.980561,-74.770839,New Jersey,08060,25647.0,1984
152,NJ,Lang Property,Pemberton Township,08015,BURLINGTON,39.929161,-74.49445,New Jersey,08015,19143.0,1983
153,NJ,Lcp Chemicals Inc.,Linden,07036,UNION,40.6075,-74.210278,New Jersey,07036,45101.0,1998
154,NJ,Lightman Drum Company,Winslow Township,08009,CAMDEN,39.729722,-74.905917,New Jersey,08009,14967.0,1999
155,NJ,Lone Pine Landfill,Freehold Township,07728,MONMOUTH,40.202781,-74.333339,New Jersey,07728,56623.0,1983
156,NJ,Lower Hackensack River,Bergen And Hudson Counties,07094,BERGEN,40.800794,-74.067175,New Jersey,07094,21437.0,2022
157,NJ,Mansfield Trail Dump,Byram,07874,SUSSEX,40.928944,-74.6996,New Jersey,07874,8498.0,2011
158,NJ,"Martin Aaron, Inc.",Camden,08104,CAMDEN,39.926111,-75.119167,New Jersey,08104,21508.0,1999
159,NJ,"Matlack, Inc.",Woolwich Township,08085,GLOUCESTER,39.763106,-75.322169,New Jersey,08085,21856.0,2013
160,NJ,Matteo & Sons Inc.,Thorofare,08086,GLOUCESTER,39.85559,-75.1727,New Jersey,08086,8534.0,2006
161,NJ,Maywood Chemical Co.,Maywood/Rochelle Park,07607,BERGEN,40.8964,-74.0693,New Jersey,07607,10042.0,1983
162,NJ,Mcguire Air Force Base #1,Wrightstown,08641,BURLINGTON,40.018056,-74.593611,New Jersey,08641,4491.0,1999
163,NJ,Metaltec/Aerosystems,Franklin Borough,07416,SUSSEX,41.109719,-74.599719,New Jersey,07416,5746.0,1983
164,NJ,Middlesex Sampling Plant (Usdoe),Middlesex,08846,MIDDLESEX,40.569806,-74.493194,New Jersey,08846,14518.0,1999
165,NJ,"Monitor Devices, Inc./Intercircuits, Inc.",Wall Township,07727,MONMOUTH,40.185281,-74.119719,New Jersey,07727,7135.0,1986
166,NJ,Montgomery Township Housing Development,Montgomery Township,08558,SOMERSET,40.408331,-74.644169,New Jersey,08558,7236.0,1983
167,NJ,Myers Property,Franklin Township,08822,HUNTERDON,40.595,-74.9404,New Jersey,08822,32002.0,1983
168,NJ,Nascolite Corp.,Millville,08332,CUMBERLAND,39.422219,-75.032781,New Jersey,08332,35214.0,1984
